ym,kospi,usd,cny,jpy
2018/08,2322.88,1108.8,162.29,998.65
2018/09,2343.07,1112.7,161.78,981.17
2018/10,2029.69,1140.6,163.59,1008.89
2018/11,2096.86,1121.8,161.73,988.98
2018/12,2041.04,1118.1,162.76,1013.18
2019/01,2204.85,1117.2,165.89,1024.81
2019/02,2195.44,1117.8,167.14,1007.62
2019/03,2140.67,1137.8,168.74,1028.24
2019/04,2203.59,1158.2,171.93,1037.02
2019/05,2041.74,1190,171.77,1085.82
2019/06,2130.62,1156.8,168.08,1073.35
2019/07,2024.55,1182,171.57,1088.45
2019/08,1967.79,1215.2,169.48,1140.66
2019/09,2063.05,1201.3,168.52,1113.4
2019/10,2083.48,1168.4,165.45,1074.05
2019/11,2087.96,1179.3,167.87,1076.89
2019/12,2197.67,1157.8,165.74,1063.47
2020/01,2119.01,1183.5,169.55,1086.68
2020/02,1987.01,1215.9,173.08,1109.95
2020/03,1754.64,1222.6,172.43,1130.83
2020/04,1947.56,1225.2,172.83,1147.14
2020/05,2029.6,1239.4,172.63,1150.63
2020/06,2108.33,1200.7,169.66,1116.05
2020/07,2249.37,1191.4,170.26,1137.32
2020/08,2326.17,1185.1,172.31,1123
2020/09,2327.89,1173.5,171.9,1112.06
2020/10,2267.15,1133.4,168.81,1083.5
2020/11,2591.34,1104.4,168.02,1061.57
2020/12,2873.47,1088,166.96,1054.26
2021/01,2976.21,1114.6,171.45,1069.26
2021/02,3012.95,1108.4,171.86,1043.15
2021/03,3061.42,1133.5,172.35,1027.33
2021/04,3147.86,1107.4,171.2,1016.9
2021/05,3203.92,1116,175.22,1015.7
2021/06,3296.68,1130,174.84,1022.12
2021/07,3202.32,1147.4,177.12,1048.48
2021/08,3199.27,1164.4,180.09,1058.88
2021/09,3068.82,1184.9,183.03,1058.18
2021/10,2970.68,1171.7,183.08,1031.65
2021/11,2839.01,1193.4,186.8,1049.56
2021/12,2977.65,1185.5,186.26,1030.24
2022/01,2663.34,1202.4,189.34,1042.8
2022/02,2699.18,1202.7,190.41,1041.52
2022/03,2757.65,1210.8,190.02,992.74
2022/04,2695.05,1269.4,192.03,970.16
2022/05,2685.9,1245.8,186.4,975.61
2022/06,2332.64,1292.9,192.75,946.45
2022/07,2451.5,1304,193.35,970.53
2022/08,2472.05,1347.5,194.84,970.65
2022/09,2155.49,1434.8,199.66,993.25
2022/10,2293.61,1419.3,195.94,961.19
2022/11,2472.53,1331.5,184.64,959.54
2022/12,2236.4,1267.3,181.44,953.18
2023/01,2425.08,1228.7,182.09,942.22
2023/02,2412.85,1317.4,188.79,967.36
2023/03,2476.86,1303.8,189.13,981.44
